esp32_id,ts,temp,hum
cucina,2026-05-05 11:54:13,23.6,47.4
cucina,2026-05-05 11:54:18,23.6,47.3
cucina,2026-05-05 11:54:24,23.6,47.4
cucina,2026-05-05 11:54:29,23.6,47.2
cucina,2026-05-05 11:54:35,23.6,47.3
cucina,2026-05-05 11:54:41,23.6,47.4
cucina,2026-05-05 11:54:46,23.6,47.4
cucina,2026-05-05 11:54:52,23.6,47.4
cucina,2026-05-05 11:54:58,23.6,47.4
cucina,2026-05-05 11:55:03,23.6,47.4
cucina,2026-05-05 11:55:09,23.6,47.4
cucina,2026-05-05 11:55:14,23.6,47.5
cucina,2026-05-05 11:55:20,23.6,47.4
cucina,2026-05-05 11:55:25,23.6,47.4
cucina,2026-05-05 11:55:31,23.6,47.5
cucina,2026-05-05 11:55:37,23.6,47.4
cucina,2026-05-05 11:55:42,23.5,47.5
cucina,2026-05-05 11:55:48,23.6,47.6
cucina,2026-05-05 11:55:54,23.6,47.5
cucina,2026-05-05 11:56:00,23.6,47.5
cucina,2026-05-05 11:56:05,23.6,47.4
cucina,2026-05-05 11:56:11,23.5,47.4
cucina,2026-05-05 11:56:17,23.6,47.4
cucina,2026-05-05 11:56:22,23.5,47.4
cucina,2026-05-05 11:56:28,23.5,47.4
cucina,2026-05-05 11:56:33,23.6,47.5
cucina,2026-05-05 11:56:39,23.5,47.5
cucina,2026-05-05 11:56:45,23.6,47.3
cucina,2026-05-05 11:56:50,23.5,47.3
cucina,2026-05-05 11:56:56,23.5,47.4
cucina,2026-05-05 11:57:01,23.5,47.3
cucina,2026-05-05 11:57:07,23.5,47.3
cucina,2026-05-05 11:57:12,23.5,47.3
cucina,2026-05-05 11:57:18,23.5,47.3
cucina,2026-05-05 11:57:24,23.5,47.3
cucina,2026-05-05 11:57:29,23.5,47.3
cucina,2026-05-05 11:57:35,23.5,47.3
cucina,2026-05-05 11:57:41,23.5,47.2
cucina,2026-05-05 11:57:46,23.5,47.2
cucina,2026-05-05 11:57:52,23.5,47.2
cucina,2026-05-05 11:57:57,23.5,47.2
cucina,2026-05-05 11:58:03,23.5,47.3
cucina,2026-05-05 11:58:08,23.5,47.2
cucina,2026-05-05 11:58:14,23.5,47.3
cucina,2026-05-05 11:58:19,23.6,47.4
cucina,2026-05-05 11:58:25,23.5,47.3
cucina,2026-05-05 11:58:30,23.5,47.4
cucina,2026-05-05 11:58:36,23.6,48.4
cucina,2026-05-05 11:58:41,23.8,53.6
cucina,2026-05-05 11:58:47,24.1,56.5
cucina,2026-05-05 11:58:53,24.3,54.4
cucina,2026-05-05 11:58:58,24.5,52.1
cucina,2026-05-05 11:59:03,24.6,50.4
cucina,2026-05-05 11:59:09,24.7,49.0
cucina,2026-05-05 11:59:14,24.8,47.9
cucina,2026-05-05 11:59:20,24.8,47.2
cucina,2026-05-05 11:59:25,24.8,46.8
cucina,2026-05-05 11:59:31,24.8,46.3
cucina,2026-05-05 11:59:36,24.8,46.0
cucina,2026-05-05 11:59:42,24.8,45.8
cucina,2026-05-05 11:59:47,24.8,45.7
cucina,2026-05-05 11:59:53,24.7,45.6
cucina,2026-05-05 11:59:58,24.7,45.4
cucina,2026-05-05 12:00:04,24.7,45.4
cucina,2026-05-05 12:00:09,24.7,45.6
cucina,2026-05-05 12:00:15,24.7,45.6
cucina,2026-05-05 12:00:21,24.6,45.6
cucina,2026-05-05 12:00:26,24.6,45.4
cucina,2026-05-05 12:00:32,24.6,45.4
cucina,2026-05-05 12:00:37,24.5,45.4
cucina,2026-05-05 12:00:43,24.5,45.4
cucina,2026-05-05 12:00:49,24.5,45.5
